Time,carts,catalogue,front-end,orders,payment,queue-master,shipping,user
0,32985088,17473536,16719872,112795648,5226496,19058688,156299264,12902400
5,32985088,17473536,16719872,112795648,5226496,19058688,156299264,12902400
10,32985088,17473536,16719872,112795648,5226496,19058688,156299264,12902400
15,33792000,17473536,16719872,113078272,5226496,19087360,156299264,12902400
20,33792000,17473536,16719872,113078272,5226496,19087360,156299264,12902400
25,33792000,17473536,16719872,113078272,5226496,19087360,156299264,12902400
30,33792000,17473536,16719872,113078272,5226496,19087360,156299264,12902400
35,33792000,17473536,16719872,113078272,5226496,19087360,156299264,12902400
40,33947648,17473536,16719872,114376704,5226496,19099648,156299264,12902400
45,33947648,17473536,16719872,114376704,5226496,19099648,156299264,12902400
50,33947648,17473536,16719872,114376704,5226496,19099648,156299264,12902400
55,33947648,17473536,16719872,114376704,5226496,19099648,156299264,12902400
60,33947648,17473536,16719872,114376704,5226496,19099648,156299264,12902400
65,33947648,17473536,16797696,114376704,5226496,19099648,156299264,12902400
70,34004992,17473536,16797696,114434048,5226496,19099648,156299264,12906496
75,34004992,17473536,16797696,114434048,5226496,19099648,156299264,12906496
80,34004992,17473536,16797696,114434048,5226496,19099648,156299264,12906496
85,34004992,17473536,16797696,114434048,5226496,19099648,156299264,12906496
90,34004992,17473536,16797696,114434048,5226496,19099648,156299264,12906496
95,34004992,17473536,16797696,114434048,5226496,19099648,156315648,12906496
100,35651584,17473536,16797696,114622464,5226496,19472384,156315648,12906496
105,35651584,17473536,16797696,114622464,5226496,19472384,156315648,12906496
110,35651584,17473536,16797696,114622464,5226496,19472384,156315648,12906496
115,35651584,17473536,16797696,114622464,5226496,19472384,156315648,12906496
120,35651584,17473536,16797696,114622464,5226496,19472384,156315648,12906496
125,35651584,17473536,16797696,114622464,5226496,19472384,156315648,12906496
130,35860480,17473536,16797696,114622464,5226496,19472384,156315648,12939264
135,35860480,17473536,16797696,114622464,5226496,19472384,156315648,12939264
140,35860480,17473536,16797696,114622464,5226496,19472384,156315648,12939264
145,35860480,17473536,16797696,114622464,5226496,19472384,156315648,12939264
150,35860480,17473536,16797696,114622464,5226496,19472384,156315648,12939264
155,35860480,17473536,16797696,114622464,5226496,19472384,156315648,12939264
160,37515264,17473536,16797696,114642944,5226496,19509248,156315648,12976128
165,37515264,17473536,16797696,114642944,5226496,19509248,156315648,12976128
170,37515264,17473536,16797696,114642944,5226496,19509248,156315648,12976128
175,37515264,17473536,16797696,114642944,5226496,19509248,156315648,12976128
180,37515264,17473536,16797696,114642944,5226496,19509248,156315648,12976128
185,37515264,17473536,16797696,114642944,5226496,19509248,156315648,12976128
190,38330368,17477632,16797696,114659328,5226496,19529728,156315648,12976128
195,38330368,17477632,16797696,114659328,5226496,19529728,156315648,12976128
200,38330368,17477632,16797696,114659328,5226496,19529728,156315648,12976128
205,38330368,17477632,16797696,114659328,5226496,19529728,156315648,12976128
210,38330368,17477632,16797696,114659328,5226496,19529728,156315648,12976128
215,38330368,17477632,16797696,114659328,5226496,19529728,156319744,12976128
220,38502400,17477632,16797696,114659328,5226496,19533824,156319744,13021184
225,38502400,17477632,16797696,114659328,5226496,19533824,156319744,13021184
230,38502400,17477632,16797696,114659328,5226496,19533824,156319744,13021184
235,38502400,17477632,16797696,114659328,5226496,19533824,156319744,13021184
240,38502400,17477632,16797696,114659328,5226496,19533824,156319744,13021184
245,38502400,17477632,16846848,114659328,5226496,19533824,156319744,13021184
250,38551552,17477632,16846848,114683904,5226496,19533824,156319744,13029376
255,38551552,17477632,16846848,114683904,5226496,19533824,156319744,13029376
260,38551552,17477632,16846848,114683904,5226496,19533824,156319744,13029376
265,38551552,17477632,16846848,114683904,5226496,19533824,156319744,13029376
270,38551552,17477632,16846848,114683904,5226496,19533824,156319744,13029376
275,38551552,17477632,16846848,114683904,5226496,19533824,156319744,13029376
280,38596608,17494016,16846848,114683904,5226496,19763200,156319744,13029376
285,38596608,17494016,16846848,114683904,5226496,19763200,156319744,13029376
290,38596608,17494016,16846848,114683904,5226496,19763200,156319744,13029376
295,38596608,17494016,16846848,114683904,5226496,19763200,156319744,13029376
300,38596608,17494016,16846848,114683904,5226496,19763200,156319744,13029376
