Time,carts,catalogue,front-end,orders,payment,queue-master,shipping,user
0,3.814697265625e-07,2.384185791015625e-06,1.9073486328125e-07,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
5,3.814697265625e-07,2.384185791015625e-06,1.9073486328125e-07,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
10,3.814697265625e-07,2.384185791015625e-06,1.9073486328125e-07,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
15,3.814697265625e-07,2.384185791015625e-06,1.9073486328125e-07,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
20,3.814697265625e-07,2.384185791015625e-06,1.9073486328125e-07,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
25,3.814697265625e-07,2.384185791015625e-06,1.9073486328125e-07,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
30,3.814697265625e-07,2.384185791015625e-06,1.9073486328125e-07,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
35,3.814697265625e-07,2.384185791015625e-06,1.9073486328125e-07,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
40,3.814697265625e-07,2.384185791015625e-06,1.9073486328125e-07,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
45,3.814697265625e-07,2.384185791015625e-06,9.5367431640625e-08,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
50,3.814697265625e-07,2.384185791015625e-06,9.5367431640625e-08,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
55,3.814697265625e-07,2.384185791015625e-06,9.5367431640625e-08,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
60,3.814697265625e-07,2.384185791015625e-06,9.5367431640625e-08,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
65,3.814697265625e-07,2.384185791015625e-06,9.5367431640625e-08,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
70,3.814697265625e-07,2.384185791015625e-06,9.5367431640625e-08,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
75,3.814697265625e-07,2.384185791015625e-06,9.5367431640625e-08,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
80,3.814697265625e-07,2.384185791015625e-06,9.5367431640625e-08,0.0,2.86102294921875e-06,9.5367431640625e-07,1.3351440429687501e-06,4.291534423828125e-06
