Time,carts,catalogue,front-end,orders,payment,queue-master,shipping,user
0,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
5,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
10,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
15,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
20,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
25,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
30,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
35,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
40,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
45,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
50,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
55,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
60,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
65,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
70,1.9073486328125e-07,9.5367431640625e-07,9.5367431640625e-08,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
75,1.9073486328125e-07,9.5367431640625e-07,9.5367431640625e-08,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
80,1.9073486328125e-07,9.5367431640625e-07,9.5367431640625e-08,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
85,1.9073486328125e-07,9.5367431640625e-07,9.5367431640625e-08,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
90,1.9073486328125e-07,9.5367431640625e-07,9.5367431640625e-08,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
95,1.9073486328125e-07,9.5367431640625e-07,9.5367431640625e-08,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
100,1.9073486328125e-07,9.5367431640625e-07,1.9073486328125e-07,0.0,9.5367431640625e-07,7.62939453125e-07,1.1444091796875e-06,2.384185791015625e-06
