Time,carts,catalogue,front-end,orders,payment,queue-master,shipping,user
0,56453906250.0,4904296875.0,7521093750.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6533203125.0
5,56453906250.0,4904296875.0,7521093750.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6533203125.0
10,56453906250.0,4904296875.0,7521093750.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6533203125.0
15,56453906250.0,4904296875.0,7521093750.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6533203125.0
20,56453906250.0,4904296875.0,7517578125.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6533203125.0
25,56453906250.0,4904296875.0,7517578125.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6533203125.0
30,56453906250.0,4904296875.0,7517578125.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6533203125.0
35,56453906250.0,4904296875.0,7517578125.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6533203125.0
40,56453906250.0,4904296875.0,7517578125.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6533203125.0
45,56453906250.0,4904296875.0,7517578125.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6533203125.0
50,56453906250.0,4904296875.0,7523828125.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6533203125.0
55,56453906250.0,4904296875.0,7523828125.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6537109375.0
60,56453906250.0,4904296875.0,7523828125.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6537109375.0
65,56453906250.0,4904296875.0,7523828125.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6537109375.0
70,56453906250.0,4904296875.0,7523828125.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6537109375.0
75,56453906250.0,4904296875.0,7523828125.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6537109375.0
80,56453906250.0,4904296875.0,7521093750.0,57031250000.0,2039062500.0,47628906250.0,50257031250.0,6537109375.0
85,56453906250.0,4904296875.0,7521093750.0,57031250000.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
90,56453906250.0,4904296875.0,7521093750.0,57031250000.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
95,56453906250.0,4904296875.0,7521093750.0,57031250000.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
100,56453906250.0,4904296875.0,7521093750.0,57031250000.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
105,56453906250.0,4904296875.0,7521093750.0,57031250000.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
110,56453906250.0,4904296875.0,7525781250.0,57031250000.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
115,56453906250.0,4904296875.0,7525781250.0,57031250000.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
120,56453906250.0,4904296875.0,7525781250.0,57031250000.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
125,56453906250.0,4904296875.0,7525781250.0,57031250000.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
130,56453906250.0,4904296875.0,7525781250.0,57031250000.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
135,56453906250.0,4904296875.0,7525781250.0,57031250000.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
140,56453906250.0,4904296875.0,7522656250.0,57031250000.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
145,56453906250.0,4884765625.0,7522656250.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
150,56453906250.0,4884765625.0,7522656250.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
155,56453906250.0,4884765625.0,7522656250.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
160,56453906250.0,4884765625.0,7522656250.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
165,56453906250.0,4884765625.0,7522656250.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
170,56453906250.0,4884765625.0,7545312500.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6537109375.0
175,56453906250.0,4884765625.0,7545312500.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6548828125.0
180,56453906250.0,4884765625.0,7545312500.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6548828125.0
185,56453906250.0,4884765625.0,7545312500.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6548828125.0
190,56453906250.0,4884765625.0,7545312500.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6548828125.0
195,56453906250.0,4884765625.0,7545312500.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6548828125.0
200,56453906250.0,4884765625.0,7542187500.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6548828125.0
205,56453906250.0,4888671875.0,7542187500.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6548828125.0
210,56453906250.0,4888671875.0,7542187500.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6548828125.0
215,56453906250.0,4888671875.0,7542187500.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6548828125.0
220,56453906250.0,4888671875.0,7542187500.0,56942187500.0,2042968750.0,47628906250.0,50257031250.0,6548828125.0
