Time,carts,catalogue,front-end,orders,payment,queue-master,shipping,user
0,11.38969929259244,2.115025803703719,29.695454517284393,3.2464181170369693,0.5829897740740523,1.2812742222223157,1.5338520061727987,5.600997672839489
5,11.38969929259244,2.115025803703719,29.695454517284393,3.2464181170369693,0.5829897740740523,1.2812742222223157,1.5338520061727987,5.600997672839489
10,11.38969929259244,2.115025803703719,29.695454517284393,3.2464181170369693,0.5829897740740523,1.2812742222223157,1.5338520061727987,5.600997672839489
15,11.38969929259244,2.115025803703719,29.695454517284393,3.2464181170369693,0.5829897740740523,1.2812742222223157,1.5338520061727987,5.600997672839489
20,11.38969929259244,2.115025803703719,29.302630837037213,3.2464181170369693,0.5829897740740523,1.2812742222223157,1.4708180259258314,5.600997672839489
25,11.2861619395062,2.0834907925925945,29.302630837037213,3.180123999259195,0.6217753370370466,1.2696391234567834,1.4708180259258314,5.668248795061741
30,11.2861619395062,2.0834907925925945,29.302630837037213,3.180123999259195,0.6217753370370466,1.2696391234567834,1.4708180259258314,5.668248795061741
35,11.2861619395062,2.0834907925925945,29.302630837037213,3.180123999259194,0.6217753370370466,1.2696391234567834,1.4708180259258314,5.668248795061741
40,11.2861619395062,2.0834907925925945,29.302630837037213,3.180123999259195,0.6217753370370466,1.2696391234567834,1.4708180259258314,5.668248795061741
45,11.2861619395062,2.0834907925925945,29.302630837037213,3.180123999259195,0.6217753370370466,1.2696391234567834,1.4708180259258314,5.668248795061741
50,11.2861619395062,2.0834907925925945,28.54312401234579,3.180123999259195,0.6217753370370466,1.2696391234567834,1.3992989679011625,5.668248795061741
55,11.211003454320831,2.1069602537037495,28.54312401234579,3.174236123703748,0.5874397722222482,1.3333444580247107,1.3992989679011623,6.019415832098797
60,11.211003454320831,2.1069602537037495,28.54312401234579,3.174236123703748,0.5874397722222482,1.3333444580247107,1.3992989679011625,6.019415832098799
65,11.211003454320831,2.1069602537037495,28.54312401234579,3.174236123703748,0.5874397722222482,1.3333444580247107,1.3992989679011625,6.019415832098797
70,11.211003454320831,2.1069602537037495,28.54312401234579,3.174236123703748,0.5874397722222482,1.3333444580247107,1.3992989679011625,6.019415832098797
75,11.211003454320831,2.1069602537037495,28.54312401234579,3.174236123703748,0.5874397722222482,1.3333444580247107,1.3992989679011625,6.019415832098797
80,11.211003454320831,2.1069602537037495,27.598250343209752,3.174236123703748,0.5874397722222482,1.3333444580247107,1.4518858370371321,6.019415832098797
85,11.317482595061701,2.2244235499999623,27.598250343209752,3.2271286770370957,0.5920238055555548,1.2918381296296986,1.4518858370371321,5.654834038271609
90,11.317482595061701,2.2244235499999623,27.598250343209752,3.2271286770370957,0.5920238055555548,1.2918381296296986,1.4518858370371321,5.654834038271609
95,11.317482595061701,2.2244235499999623,27.598250343209752,3.2271286770370957,0.5920238055555548,1.2918381296296986,1.4518858370371321,5.654834038271609
100,11.317482595061701,2.2244235499999623,27.598250343209752,3.2271286770370957,0.5920238055555548,1.2918381296296986,1.4518858370371321,5.654834038271609
105,11.317482595061701,2.2244235499999623,27.598250343209752,3.2271286770370957,0.5920238055555548,1.2918381296296986,1.4518858370371321,5.654834038271609
110,11.317482595061701,2.2244235499999623,29.4195314333334,3.2271286770370957,0.5920238055555548,1.2918381296296986,1.3745809123457142,5.654834038271609
115,10.952329183950733,2.100866353703694,29.4195314333334,3.2323227370371,0.5840666259259222,1.285981627160518,1.3745809123457142,5.786593053086321
120,10.952329183950733,2.100866353703694,29.4195314333334,3.2323227370371,0.5840666259259222,1.2859816271605178,1.3745809123457142,5.786593053086321
125,10.952329183950733,2.100866353703694,29.4195314333334,3.2323227370371,0.5840666259259222,1.285981627160518,1.3745809123457142,5.786593053086321
130,10.952329183950733,2.100866353703694,29.4195314333334,3.2323227370371,0.5840666259259222,1.285981627160518,1.3745809123457142,5.786593053086321
135,10.952329183950733,2.100866353703694,29.4195314333334,3.2323227370371,0.5840666259259222,1.285981627160518,1.3745809123457142,5.786593053086321
140,10.952329183950733,2.100866353703694,30.71463719382752,3.2323227370371,0.5840666259259222,1.285981627160518,1.4069660345679629,5.786593053086321
145,10.756674996296338,2.1078977685185145,30.71463719382752,3.2390787940740093,0.5919735148148569,1.2874642913580818,1.4069660345679624,5.715458844444562
150,10.756674996296338,2.1078977685185145,30.71463719382752,3.2390787940740093,0.5919735148148569,1.2874642913580818,1.4069660345679624,5.715458844444562
155,10.756674996296338,2.1078977685185145,30.71463719382752,3.2390787940740093,0.5919735148148569,1.2874642913580818,1.4069660345679624,5.715458844444562
160,10.756674996296338,2.1078977685185145,30.71463719382752,3.2390787940740093,0.5919735148148569,1.2874642913580818,1.4069660345679624,5.715458844444562
165,10.756674996296338,2.1078977685185145,30.71463719382752,3.2390787940740093,0.5919735148148569,1.2874642913580818,1.4069660345679624,5.715458844444562
170,10.756674996296338,2.1078977685185145,27.831326037037375,3.2390787940740093,0.5919735148148569,1.2874642913580818,1.5430724148147397,5.715458844444562
175,11.162267919752999,2.076405835185192,27.831326037037375,3.197166277037064,0.5725402185184955,1.3178020555555416,1.5430724148147397,5.527639333333361
180,11.162267919752999,2.076405835185192,27.831326037037375,3.197166277037064,0.5725402185184955,1.3178020555555416,1.5430724148147397,5.527639333333361
185,11.162267919752999,2.076405835185192,27.831326037037375,3.197166277037064,0.5725402185184955,1.3178020555555416,1.5430724148147397,5.527639333333361
190,11.162267919752999,2.076405835185192,27.831326037037375,3.197166277037064,0.5725402185184955,1.3178020555555416,1.5430724148147397,5.527639333333361
